"filename", "language", "Markdown", "TypeScript", "JSON", "JavaScript", "HTML", "pip requirements", "JSON with Comments", "TypeScript JSX", "Python", "CSS", "XML", "Docker", "comment", "blank", "total"
"/home/aarya/Projects/DDAS/Unison/app/synchronization_engine/repositories/file_metadata.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"/home/aarya/Projects/DDAS/Unison/app/synchronization_engine/repositories/server_status.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"/home/aarya/Projects/DDAS/Unison/app/synchronization_engine/schemas/file_metadata.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"/home/aarya/Projects/DDAS/Unison/app/synchronization_engine/schemas/server_status.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"/home/aarya/Projects/DDAS/Unison/app/synchronization_engine/services/file_metadata.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 19, 144
"/home/aarya/Projects/DDAS/Unison/app/synchronization_engine/services/server_status.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"/home/aarya/Projects/DDAS/Unison/app/user_management/endpoints.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 7, 26, 246
"/home/aarya/Projects/DDAS/Unison/app/user_management/models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 16, 93
"/home/aarya/Projects/DDAS/Unison/app/user_management/repositories.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 20, 136
"/home/aarya/Projects/DDAS/Unison/app/user_management/schemas.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 23, 110
"/home/aarya/Projects/DDAS/Unison/app/utils/datetime_utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 9, 37
"/home/aarya/Projects/DDAS/Unison/app/utils/file_existence_check_utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 11, 49
"/home/aarya/Projects/DDAS/Unison/app/utils/schema_utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 4, 20
"/home/aarya/Projects/DDAS/Unison/app/utils/security_utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 1, 15, 74
"/home/aarya/Projects/DDAS/Unison/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/aarya/Projects/DDAS/phoenix/.eslintrc.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/aarya/Projects/DDAS/phoenix/README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"/home/aarya/Projects/DDAS/phoenix/components.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/home/aarya/Projects/DDAS/phoenix/next.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"/home/aarya/Projects/DDAS/phoenix/package-lock.json", "JSON", 0, 0, 5996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5997
"/home/aarya/Projects/DDAS/phoenix/package.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"/home/aarya/Projects/DDAS/phoenix/postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"/home/aarya/Projects/DDAS/phoenix/src/app/admin/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"/home/aarya/Projects/DDAS/phoenix/src/app/admin/filetransfer/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"/home/aarya/Projects/DDAS/phoenix/src/app/admin/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"/home/aarya/Projects/DDAS/phoenix/src/app/admin/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"/home/aarya/Projects/DDAS/phoenix/src/app/admin/users/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
